epix_address,balance
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,272982.51877545
epix10y2jd8mcveelz27kc3jdyggndlgg9nqg2te8ts,19599.57018358
epix1marvg095283tnkta9p2x5patck93dlm6e6aqwu,1676.30235300
epix1eznqnlsqda43kj022qkp4enw8486srw53e2ldq,9908.44064100
epix1fu9eq5qzlemrmjw0c3vrq37yxmv8hut8t98jxf,14481.64284431
epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6,87404.59233119
epix1mrdzx6ecv45y5crz2xxxzx6dthz56m0t9mee5c,22427.51158019
epix1q0px6h3zcrv4pq5peh7dsk2dmdggasehznpccm,35872.87060315
epix1a54e5t0x7rqyj78wp5ra272z8v8uaa263x5jfs,187.73417686
epix1d9768xl5u84ejex57x9lhagg3paakp5eynzs0x,3900.18029759
epix1dz76dqr6mzqve7cyax8q8jgnr9klm8p3lqw5pl,19887.84390506
epix1qpggj3adws5p3f97u2frnf9zh83gyws3mlljah,21755.43365064
epix1ggsmk2fjjw476k0urxd3g4et67f267eknsd076,3167.85573400
epix1mkum8hhzk2v85nnljc88hxxga5muvwlseryvaq,16773.58276217
epix1uv8py5rxvgqkxcpvrtqxusmn34v32amtdmz75x,20536.13360971
epix1fchavq74lnxt72he263s9367t3n04fuzu8q347,1807.90294966
epix1n4m2qt02z7hwqqsj0pllsqcc4np9c423glkcyd,22721.70037661
epix17jtzy4j5dzq225r8m96vd386n4jgewp82ql24x,20101.68169619
epix1s2dh6edze04sldk06ukmz6whzdpj3ghgquzckr,1791.52224391
epix1p4nhs45alrmmmkgz6yv6h2cs0m89ulvp352a00,20934.31777740
epix1v8wyvccvchd638cd4rh4c0p4q2ru6kmxx9yrw4,5602.11772967
epix1m2gns704fhe2vx9e9r6aqluwsp7zg5zmd6kafc,17575.69977310
epix1ayyrjhr5d865k7qt0w38pqs4pwk3k7luw9qppr,14685.86725397
epix1sulswqvrzy63489p4ltclgavn5cu9kgkwrtqf7,22748.31478372
epix1pym5fadujngxnfw9s98nxspyzdve9kvlyw655h,20758.19058968
epix1heun4fq6kcfk49y3urgxwfxeke8espd9rq8xy3,17766.42558984
epix1n5w20ycluew5zz2jrzxta4nfenu340u5tc2anv,20445.15897568
epix1e492te60hthjj6p0dpjqggq9trljaunj9d73vj,20583.22038643
epix193vf2h9nzt7akhq42qv8p0fqxkkac3ut2daerd,18433.97541157
epix173rpuaruvnz8ksv7m6xgkdhuya3960f7qk9k5s,1514.43316455
epix1vjuew9nc4nu9fkg7tncvsfelfyy63w6stkz2xc,14424.03260149
epix1787sc2cmxad4sjm00s3jx0mgcjujfuhuaeky7f,21520.58930214
epix1np8xh0a2j5rdm8gdjk7vn6ngc46984u8gp4ffz,3894.22214243
epix1javwveqmfgduwpvm9cxsyvr6npmt5w6yzpp8kn,7813.87831933
epix1dzsgznqhnqrhpsrjzj7xvjdxaukz7uahclyj55,18894.21043943
epix19gtmgvs2v8lqw4egefezpt5934qpmmr48p6vnv,22333.53145136
epix1p9s83lhjjhujrw4ncvp0w8yyrxsn9prfvasek5,7540.53618165
epix1htf4fnl5lf4slmp52pjasx8y048wy8regfptyj,16897.16364110
epix16hxgjscaypagke3q03h6g3jszpwafc9c7fgu3w,17685.61001519
epix1n8at58cqf77937fzqw0em7fa5mu4mws9w8sqj2,3984.48709648
epix1p9z4tz0ehgqtp4umw8le4w0euatjkstpltfcsh,21500.14266408
epix1rfqu6yp4wyd9pn5lqk3grxx0kfuttskuzymq7p,10016.58087972
epix12slphzsdhf4zu6mxwzjhdgvn6au94v9sezau23,19621.07157369
epix1aqxzytfe082c2ecrsd825qntejaajd2t7t7e3f,19890.56282861
epix1dwj30lu3vuwzkr9pkjaku6q97hm2pl06n6fjs0,1813.89369778
epix18gkkh3dsy35zwfw3dwute6px8w9dzj59phvsyp,21471.78225636
epix15ele5jtk3z72prz6lkz6uqk0c89j2v57c0ucqa,22607.86188062
epix19fv0xqx8yh7gdsw9cxawcc0gwl602pkx7e5v04,9652.53203728
epix1ff083apgzh35kk6p4ydt7662u3k4tr6d7hhjhw,14136.90267984
epix18x708nkq3tnuwfdu3kuftkz3lgg88frns7vlm5,22381.53840842
epix17wmnqe8gmslkee2up4rzle0mjkvs5xnvtzs8zf,20763.49074270
epix1876e20yv5jn86ynpazuj22v36fflncpjw20f8n,22102.19580171
epix1xuv0qd3pn7k6j2hu4p88c4w2mf8xag6f0d8ah5,21211.54992916
epix14jq9ly9q8ewwu49hm8hkxd3m8548y7qrsyp0ru,18664.70494415
epix16az7mnsen9yy5c4pty5qfdlehlpqehjzkemw33,5646.91007093
epix1syw3mjezlpf6uzm0vh8an054exdhap5v4k0xrl,16591.44735363
epix1jvzee79rsx2h4sdeg2hsyjfcsk4urnqz07k5tg,1709.25016841
epix1227dpxm6n9vvx743afc92zshq0dgn9lyk5cufh,20353.94349310
epix10uu6sgca9fmwaaz60gw079y5l5rmntrphv2cut,22667.01370533
epix1de35fr0h4uw7unmuvjne54zqp9udjmwpgj4686,16845.45504799
epix1jme5ruwgd3m9s3emaln56f38d6k5ka75s2ft66,16385.46117953
epix10r7lkf5eru0wnj839dl0rf2dnuh3jdksvsd4t3,20261.63992637
epix1tqpl5q9x8xsna6epp2h8zy7f4nfncnwu4z4vla,5848.97764438
epix1h0ewx9sz8z0wluqyz4lazjn56v8lde7pu2psz9,12056.99874818
epix1p7k6c8vlafyc86y2dtc7cru9ntvr92muguk06k,19392.96899077
epix1309n6jtdgqm7y8dtg6c3f8uq84ru2z7l8ch0xl,20939.55402088
epix1utvwc0zw40jhwa6dqtwmgt2gumaytz2ye2hrv2,18282.39844067
epix18dr6f90g3yptqnnkf6y0za9r8frv9ykv6maky2,17161.55996204
epix1z0lur0dr0e72duj7w58sqce8e2fewdsr736cnk,21864.47756368
epix1j5cf9qws9arx52hez8pvzwxt8kk5573a6y4745,1824.21674468
epix16frfuwsh0teec32r5jefj3rx0qh9fxf6g3rttc,22531.81906101
epix1de8z73wuww2dxjnt76mv6tm2n4wn0xssl5sczx,23347.92588762
epix10587a6nv6x6m0xyn76w27avwzng50lw85m9hu6,20744.28758549
epix1ad2jdur7pgnwwtz0q8vqhjkh9uc7dw8qcwha3h,21723.58818218
epix1xcdzapnymxcme33ddlfzl8amp386x0lgl7wrwr,20205.61573479
epix13lm5a997u6akcmketvaddpxd6fgu5cqdxgghjh,21749.90781234
epix1rlz6x6ajjdjf8zucks6w33az4pdjygpukyplnn,3656.86332889
epix1fr2x3gw4xur7mcvtgxf9q6fym97ycn7ths9def,21810.58706986
epix1sfa4w0mquyxpu309y6yep5yny2p40t7w4yqu9c,17467.63223161
epix14q4cawxeac4dcycmxkwrk078gnx0f5a4zgyejj,1820.10312401
epix1p7n3qvcztwmxevzyglrmt0qmq4yj797stsdktw,23198.03943420
epix14z6mxf67g9kgjtuqghhh8qu9cpslcjv58jwp7y,17454.21476901
epix1f9kj99ntp3a2uy2f4u4ns3jceuk8xgrwg9m03q,21276.69320034
epix1x5xtnqedyuk70c5tnh05ucrracmw2zg4wjzkpy,20211.72869299
epix134q4ylx7m4vd77fz75eq8xwrdqffzwtm4n3sp7,3544.24014694
epix1435ql43chh69s7drm9usgsu7zl4un7cwwvc5m9,21399.09168032
